Name,Contributions,Range
K. Debattista,14,10+
A. Chalmers,14,10+
M. J. Turner,12,10+
S. Maddock,12,10+
N. W. John,9,5+
S. D. Laycock,8,5+
R. S. Laramee,8,5+
M. Turner,7,5+
I. Stephenson,6,5+
H. Carr,6,5+
W. T. Hewitt,6,5+
A. M. Day,6,5+
T. E. W. Bashford-Rogers,6,5+
P. Richmond,5,5+
W. Tang,5,5+
M. Trapp,5,5+
I. Ivrissimtzis,5,5+
A. G. M. Ahmed,4,1+
J. M. Blackledge,4,1+
J. Liu,4,1+
C. Harvey,4,1+
J. C. Roberts,4,1+
T. Morris,4,1+
D. Ghazanfarpour,4,1+
J. Sochor,4,1+
S. M. Longshaw,3,1+
J. Ma,3,1+
D. A. Duce,3,1+
L. a. Cenydd,3,1+
O. E. Gundersen,3,1+
J. Skjermo,3,1+
A. Telea,3,1+
K. W. Brodlie,3,1+
F. P. Vidal,3,1+
R. Borgo,3,1+
J. Dingliana,3,1+
O. Deussen,3,1+
D. Murphy,3,1+
